que,ans,type
Capital of dagaudg,"The capital of dagaudg is Sorry, I didn't understand your question",countryCapital
Capital of Abkhazia,The capital of Abkhazia is Sukhumi,countryCapital
Capital of Afghanistan,The capital of Afghanistan is Kabul,countryCapital
Capital of Akrotiri and Dhekelia,The capital of Akrotiri and Dhekelia is Episkopi Cantonment,countryCapital
Capital of Albania,The capital of Albania is Tirana,countryCapital
Capital of Algeria,The capital of Algeria is Algiers,countryCapital
Capital of American Samoa,The capital of American Samoa is Pago Pago,countryCapital
Capital of Andorra,The capital of Andorra is Andorra la Vella,countryCapital
Capital of Angola,The capital of Angola is Luanda,countryCapital
Capital of Anguilla,The capital of Anguilla is The Valley,countryCapital
Capital of Antigua and Barbuda,The capital of Antigua and Barbuda is St. John's,countryCapital
Capital of Argentina,The capital of Argentina is Buenos Aires,countryCapital
Capital of Armenia,The capital of Armenia is Yerevan,countryCapital
Capital of Aruba,The capital of Aruba is Oranjestad,countryCapital
Capital of Ascension Island,The capital of Ascension Island is Georgetown,countryCapital
Capital of Australia,The capital of Australia is Canberra,countryCapital
Capital of Austria,The capital of Austria is Vienna,countryCapital
Capital of Azerbaijan,The capital of Azerbaijan is Baku,countryCapital
Capital of Bahamas,The capital of Bahamas is Nassau,countryCapital
Capital of Bahrain,The capital of Bahrain is Manama,countryCapital
Capital of Bangladesh,The capital of Bangladesh is Dhaka,countryCapital
Capital of Barbados,The capital of Barbados is Bridgetown,countryCapital
Capital of Belarus,The capital of Belarus is Minsk,countryCapital
Capital of Belgium,The capital of Belgium is Brussels,countryCapital
Capital of Belize,The capital of Belize is Belmopan,countryCapital
Capital of Benin,The capital of Benin is Porto-Novo,countryCapital
Capital of Bermuda,The capital of Bermuda is Hamilton,countryCapital
Capital of Bhutan,The capital of Bhutan is Thimphu,countryCapital
Capital of Bolivia,The capital of Bolivia is Sucre,countryCapital
Capital of Bolivia,The capital of Bolivia is La Paz,countryCapital
Capital of Bosnia and Herzegovina,The capital of Bosnia and Herzegovina is Sarajevo,countryCapital
Capital of Botswana,The capital of Botswana is Gaborone,countryCapital
Capital of Brazil,The capital of Brazil is Brasília,countryCapital
Capital of British Virgin Islands,The capital of British Virgin Islands is Road Town,countryCapital
Capital of Brunei,The capital of Brunei is Bandar Seri Begawan,countryCapital
Capital of Bulgaria,The capital of Bulgaria is Sofia,countryCapital
Capital of Burkina Faso,The capital of Burkina Faso is Ouagadougou,countryCapital
Capital of Burundi,The capital of Burundi is Bujumbura,countryCapital
Capital of Cambodia,The capital of Cambodia is Phnom Penh,countryCapital
Capital of Cameroon,The capital of Cameroon is Yaoundé,countryCapital
Capital of Canada,The capital of Canada is Ottawa,countryCapital
Capital of Cape Verde,The capital of Cape Verde is Praia,countryCapital
Capital of Cayman Islands,The capital of Cayman Islands is George Town,countryCapital
Capital of Central African Republic,The capital of Central African Republic is Bangui,countryCapital
Capital of Chad,The capital of Chad is N'Djamena,countryCapital
Capital of Chile,The capital of Chile is Santiago,countryCapital
Capital of China,The capital of China is Beijing,countryCapital
Capital of Christmas Island,The capital of Christmas Island is Flying Fish Cove,countryCapital
Capital of Cocos (Keeling) Islands,The capital of Cocos (Keeling) Islands is West Island,countryCapital
Capital of Colombia,The capital of Colombia is Bogotá,countryCapital
Capital of Comoros,The capital of Comoros is Moroni,countryCapital
Capital of Cook Islands,The capital of Cook Islands is Avarua,countryCapital
Capital of Costa Rica,The capital of Costa Rica is San José,countryCapital
Capital of Croatia,The capital of Croatia is Zagreb,countryCapital
Capital of Cuba,The capital of Cuba is Havana,countryCapital
Capital of Curaçao,The capital of Curaçao is Willemstad,countryCapital
Capital of Cyprus,The capital of Cyprus is Nicosia,countryCapital
Capital of Czech Republic,The capital of Czech Republic is Prague,countryCapital
Capital of Côte d'Ivoire,The capital of Côte d'Ivoire is Yamoussoukro,countryCapital
Capital of Democratic Republic of the Congo,The capital of Democratic Republic of the Congo is Kinshasa,countryCapital
Capital of Denmark,The capital of Denmark is Copenhagen,countryCapital
Capital of Djibouti,The capital of Djibouti is Djibouti,countryCapital
Capital of Dominica,The capital of Dominica is Roseau,countryCapital
Capital of Dominican Republic,The capital of Dominican Republic is Santo Domingo,countryCapital
Capital of East Timor (Timor-Leste),The capital of East Timor (Timor-Leste) is Dili,countryCapital
Capital of Easter Island,The capital of Easter Island is Hanga Roa,countryCapital
Capital of Ecuador,The capital of Ecuador is Quito,countryCapital
Capital of Egypt,The capital of Egypt is Cairo,countryCapital
Capital of El Salvador,The capital of El Salvador is San Salvador,countryCapital
Capital of Equatorial Guinea,The capital of Equatorial Guinea is Malabo,countryCapital
Capital of Eritrea,The capital of Eritrea is Asmara,countryCapital
Capital of Estonia,The capital of Estonia is Tallinn,countryCapital
Capital of Ethiopia,The capital of Ethiopia is Addis Ababa,countryCapital
Capital of Falkland Islands,The capital of Falkland Islands is Stanley,countryCapital
Capital of Faroe Islands,The capital of Faroe Islands is Tórshavn,countryCapital
Capital of Federated States of Micronesia,The capital of Federated States of Micronesia is Palikir,countryCapital
Capital of Fiji,The capital of Fiji is Suva,countryCapital
Capital of Finland,The capital of Finland is Helsinki,countryCapital
Capital of France,The capital of France is Paris,countryCapital
Capital of French Guiana,The capital of French Guiana is Cayenne,countryCapital
Capital of French Polynesia,The capital of French Polynesia is Papeete,countryCapital
Capital of Gabon,The capital of Gabon is Libreville,countryCapital
Capital of Gambia,The capital of Gambia is Banjul,countryCapital
Capital of Georgia,The capital of Georgia is Tbilisi,countryCapital
Capital of Germany,The capital of Germany is Berlin,countryCapital
Capital of Ghana,The capital of Ghana is Accra,countryCapital
Capital of Gibraltar,The capital of Gibraltar is Gibraltar,countryCapital
Capital of Greece,The capital of Greece is Athens,countryCapital
Capital of Greenland,The capital of Greenland is Nuuk,countryCapital
Capital of Grenada,The capital of Grenada is St. George's,countryCapital
Capital of Guam,The capital of Guam is Hagåtña,countryCapital
Capital of Guatemala,The capital of Guatemala is Guatemala City,countryCapital
Capital of Guernsey,The capital of Guernsey is St. Peter Port,countryCapital
Capital of Guinea,The capital of Guinea is Conakry,countryCapital
Capital of Guinea-Bissau,The capital of Guinea-Bissau is Bissau,countryCapital
Capital of Guyana,The capital of Guyana is Georgetown,countryCapital
Capital of Haiti,The capital of Haiti is Port-au-Prince,countryCapital
Capital of Honduras,The capital of Honduras is Tegucigalpa,countryCapital
Capital of Hungary,The capital of Hungary is Budapest,countryCapital
Capital of Iceland,The capital of Iceland is Reykjavík,countryCapital
Capital of India,The capital of India is New Delhi,countryCapital
Capital of Indonesia,The capital of Indonesia is Jakarta,countryCapital
Capital of Iran,The capital of Iran is Tehran,countryCapital
Capital of Iraq,The capital of Iraq is Baghdad,countryCapital
Capital of Ireland,The capital of Ireland is Dublin,countryCapital
Capital of Isle of Man,The capital of Isle of Man is Douglas,countryCapital
Capital of Israel,The capital of Israel is Jerusalem,countryCapital
Capital of Italy,The capital of Italy is Rome,countryCapital
Capital of Jamaica,The capital of Jamaica is Kingston,countryCapital
Capital of Japan,The capital of Japan is Tokyo,countryCapital
Capital of Jersey,The capital of Jersey is St. Helier,countryCapital
Capital of Jordan,The capital of Jordan is Amman,countryCapital
Capital of Kazakhstan,The capital of Kazakhstan is Astana,countryCapital
Capital of Kenya,The capital of Kenya is Nairobi,countryCapital
Capital of Kiribati,The capital of Kiribati is Tarawa,countryCapital
Capital of Kosovo,The capital of Kosovo is Pristina,countryCapital
Capital of Kuwait,The capital of Kuwait is Kuwait City,countryCapital
Capital of Kyrgyzstan,The capital of Kyrgyzstan is Bishkek,countryCapital
Capital of Laos,The capital of Laos is Vientiane,countryCapital
Capital of Latvia,The capital of Latvia is Riga,countryCapital
Capital of Lebanon,The capital of Lebanon is Beirut,countryCapital
Capital of Lesotho,The capital of Lesotho is Maseru,countryCapital
Capital of Liberia,The capital of Liberia is Monrovia,countryCapital
Capital of Libya,The capital of Libya is Tripoli,countryCapital
Capital of Liechtenstein,The capital of Liechtenstein is Vaduz,countryCapital
Capital of Lithuania,The capital of Lithuania is Vilnius,countryCapital
Capital of Luxembourg,The capital of Luxembourg is Luxembourg,countryCapital
Capital of Macedonia,The capital of Macedonia is Skopje,countryCapital
Capital of Madagascar,The capital of Madagascar is Antananarivo,countryCapital
Capital of Malawi,The capital of Malawi is Lilongwe,countryCapital
Capital of Malaysia,The capital of Malaysia is Kuala Lumpur,countryCapital
Capital of Maldives,The capital of Maldives is Malé,countryCapital
Capital of Mali,The capital of Mali is Bamako,countryCapital
Capital of Malta,The capital of Malta is Valletta,countryCapital
Capital of Marshall Islands,The capital of Marshall Islands is Majuro,countryCapital
Capital of Mauritania,The capital of Mauritania is Nouakchott,countryCapital
Capital of Mauritius,The capital of Mauritius is Port Louis,countryCapital
Capital of Mexico,The capital of Mexico is Mexico City,countryCapital
Capital of Moldova,The capital of Moldova is Chisinau,countryCapital
Capital of Monaco,The capital of Monaco is Monaco,countryCapital
Capital of Mongolia,The capital of Mongolia is Ulaanbaatar,countryCapital
Capital of Montenegro,The capital of Montenegro is Podgorica,countryCapital
Capital of Montserrat,The capital of Montserrat is Plymouth,countryCapital
Capital of Morocco,The capital of Morocco is Rabat,countryCapital
Capital of Mozambique,The capital of Mozambique is Maputo,countryCapital
Capital of Myanmar,The capital of Myanmar is Naypyidaw,countryCapital
Capital of Nagorno-Karabakh Republic,The capital of Nagorno-Karabakh Republic is Stepanakert,countryCapital
Capital of Namibia,The capital of Namibia is Windhoek,countryCapital
Capital of Nauru,The capital of Nauru is Yaren,countryCapital
Capital of Nepal,The capital of Nepal is Kathmandu,countryCapital
Capital of Netherlands,The capital of Netherlands is Amsterdam,countryCapital
Capital of New Caledonia,The capital of New Caledonia is Nouméa,countryCapital
Capital of New Zealand,The capital of New Zealand is Wellington,countryCapital
Capital of Nicaragua,The capital of Nicaragua is Managua,countryCapital
Capital of Niger,The capital of Niger is Niamey,countryCapital
Capital of Nigeria,The capital of Nigeria is Abuja,countryCapital
Capital of Niue,The capital of Niue is Alofi,countryCapital
Capital of Norfolk Island,The capital of Norfolk Island is Kingston,countryCapital
Capital of North Korea,The capital of North Korea is Pyongyang,countryCapital
Capital of Northern Cyprus,The capital of Northern Cyprus is Nicosia,countryCapital
Capital of United Kingdom Northern Ireland,The capital of United Kingdom Northern Ireland is Belfast,countryCapital
Capital of Northern Mariana Islands,The capital of Northern Mariana Islands is Saipan,countryCapital
Capital of Norway,The capital of Norway is Oslo,countryCapital
Capital of Oman,The capital of Oman is Muscat,countryCapital
Capital of Pakistan,The capital of Pakistan is Islamabad,countryCapital
Capital of Palau,The capital of Palau is Ngerulmud,countryCapital
Capital of Palestine,The capital of Palestine is Jerusalem,countryCapital
Capital of Panama,The capital of Panama is Panama City,countryCapital
Capital of Papua New Guinea,The capital of Papua New Guinea is Port Moresby,countryCapital
Capital of Paraguay,The capital of Paraguay is Asunción,countryCapital
Capital of Peru,The capital of Peru is Lima,countryCapital
Capital of Philippines,The capital of Philippines is Manila,countryCapital
Capital of Pitcairn Islands,The capital of Pitcairn Islands is Adamstown,countryCapital
Capital of Poland,The capital of Poland is Warsaw,countryCapital
Capital of Portugal,The capital of Portugal is Lisbon,countryCapital
Capital of Puerto Rico,The capital of Puerto Rico is San Juan,countryCapital
Capital of Qatar,The capital of Qatar is Doha,countryCapital
Capital of Republic of China (Taiwan),The capital of Republic of China (Taiwan) is Taipei,countryCapital
Capital of Republic of the Congo,The capital of Republic of the Congo is Brazzaville,countryCapital
Capital of Romania,The capital of Romania is Bucharest,countryCapital
Capital of Russia,The capital of Russia is Moscow,countryCapital
Capital of Rwanda,The capital of Rwanda is Kigali,countryCapital
Capital of Saint Barthélemy,The capital of Saint Barthélemy is Gustavia,countryCapital
Capital of Saint Helena,The capital of Saint Helena is Jamestown,countryCapital
Capital of Saint Kitts and Nevis,The capital of Saint Kitts and Nevis is Basseterre,countryCapital
Capital of Saint Lucia,The capital of Saint Lucia is Castries,countryCapital
Capital of Saint Martin,The capital of Saint Martin is Marigot,countryCapital
Capital of Saint Pierre and Miquelon,The capital of Saint Pierre and Miquelon is St. Pierre,countryCapital
Capital of Saint Vincent and the Grenadines,The capital of Saint Vincent and the Grenadines is Kingstown,countryCapital
Capital of Samoa,The capital of Samoa is Apia,countryCapital
Capital of San Marino,The capital of San Marino is San Marino,countryCapital
Capital of Saudi Arabia,The capital of Saudi Arabia is Riyadh,countryCapital
Capital of Scotland,The capital of Scotland is Edinburgh,countryCapital
Capital of Senegal,The capital of Senegal is Dakar,countryCapital
Capital of Serbia,The capital of Serbia is Belgrade,countryCapital
Capital of Seychelles,The capital of Seychelles is Victoria,countryCapital
Capital of Sierra Leone,The capital of Sierra Leone is Freetown,countryCapital
Capital of Singapore,The capital of Singapore is Singapore,countryCapital
Capital of Sint Maarten,The capital of Sint Maarten is Philipsburg,countryCapital
Capital of Slovakia,The capital of Slovakia is Bratislava,countryCapital
Capital of Slovenia,The capital of Slovenia is Ljubljana,countryCapital
Capital of Solomon Islands,The capital of Solomon Islands is Honiara,countryCapital
Capital of Somalia,The capital of Somalia is Mogadishu,countryCapital
Capital of Somaliland,The capital of Somaliland is Hargeisa,countryCapital
Capital of South Africa,The capital of South Africa is Pretoria,countryCapital
Capital of South Georgia and the South Sandwich Islands,The capital of South Georgia and the South Sandwich Islands is Grytviken,countryCapital
Capital of South Korea,The capital of South Korea is Seoul,countryCapital
Capital of South Ossetia,The capital of South Ossetia is Tskhinvali,countryCapital
Capital of South Sudan,The capital of South Sudan is Juba,countryCapital
Capital of Spain,The capital of Spain is Madrid,countryCapital
Capital of Sri Lanka,The capital of Sri Lanka is Sri Jayawardenapura Kotte,countryCapital
Capital of Sudan,The capital of Sudan is Khartoum,countryCapital
Capital of Suriname,The capital of Suriname is Paramaribo,countryCapital
Capital of Swaziland,The capital of Swaziland is Mbabane,countryCapital
Capital of Sweden,The capital of Sweden is Stockholm,countryCapital
Capital of Switzerland,The capital of Switzerland is Bern,countryCapital
Capital of Syria,The capital of Syria is Damascus,countryCapital
Capital of São Tomé and Príncipe,The capital of São Tomé and Príncipe is São Tomé,countryCapital
Capital of Tajikistan,The capital of Tajikistan is Dushanbe,countryCapital
Capital of Tanzania,The capital of Tanzania is Dodoma,countryCapital
Capital of Thailand,The capital of Thailand is Bangkok,countryCapital
Capital of Togo,The capital of Togo is Lomé,countryCapital
Capital of Tonga,The capital of Tonga is Nukuʻalofa,countryCapital
