que,copy_que,Acronym,Established,ans,Division,Specialization,Type,Ph.D. granting
ioioioio,ioioioio .,The Acronym of ioioioio is RU .,It's Established on 1953 .,"Sorry, I didn't understand your question .",Also division is Rajshahi division .,This university offers a specialization in General .,ioioioio is a Public University .,Ph.D. granting Yes .
University of Rajshahi,University of Rajshahi .,The Acronym of University of Rajshahi is RU .,It's Established on 1953 .,And its Location is Rajshahi .,Also division is Rajshahi division .,This university offers a specialization in General .,University of Rajshahi is a Public University .,Ph.D. granting Yes .
University of Dhaka,University of Dhaka .,The Acronym of University of Dhaka is DU .,It's Established on 1921 .,And its Location is Dhaka .,Also division is Dhaka division .,This university offers a specialization in General .,University of Dhaka is a Public University .,Ph.D. granting Yes .
University of Chittagong,University of Chittagong .,The Acronym of University of Chittagong is CU .,It's Established on 1966 .,And its Location is Chittagong .,Also division is Chittagong division .,This university offers a specialization in General .,University of Chittagong is a Public University .,Ph.D. granting Yes .
University of Barisal,University of Barisal .,The Acronym of University of Barisal is BU .,It's Established on 2011 .,And its Location is Barisal .,Also division is Barisal division .,This university offers a specialization in General .,University of Barisal is a Public University .,Ph.D. granting Yes .
Sheikh Hasina University,Sheikh Hasina University .,The Acronym of Sheikh Hasina University is SHU .,It's Established on 2018 .,And its Location is Netrokona .,Also division is Mymensingh division .,This university offers a specialization in General .,Sheikh Hasina University is a Public University .,Ph.D. granting Yes .
"Rabindra University, Bangladesh","Rabindra University, Bangladesh .","The Acronym of Rabindra University, Bangladesh is RUB .",It's Established on 2017 .,And its Location is Sirajganj .,Also division is Rajshahi division .,This university offers a specialization in General .,"Rabindra University, Bangladesh is a Public University .",Ph.D. granting Yes .
Khulna University,Khulna University .,The Acronym of Khulna University is KU .,It's Established on 1991 .,And its Location is Khulna .,Also division is Khulna division .,This university offers a specialization in General .,Khulna University is a Public University .,Ph.D. granting Yes .
Jatiya Kabi Kazi Nazrul Islam University,Jatiya Kabi Kazi Nazrul Islam University .,The Acronym of Jatiya Kabi Kazi Nazrul Islam University is JKKNIU .,It's Established on 2006 .,And its Location is Mymensingh .,Also division is Mymensingh division .,This university offers a specialization in General .,Jatiya Kabi Kazi Nazrul Islam University is a Public University .,Ph.D. granting Yes .
Jahangirnagar University,Jahangirnagar University .,The Acronym of Jahangirnagar University is JU .,It's Established on 1970 .,"And its Location is Savar, Dhaka .",Also division is Dhaka division .,This university offers a specialization in General .,Jahangirnagar University is a Public University .,Ph.D. granting Yes .
Jagannath University,Jagannath University .,The Acronym of Jagannath University is JnU .,It's Established on 2005 .,And its Location is Dhaka .,Also division is Dhaka division .,This university offers a specialization in General .,Jagannath University is a Public University .,Ph.D. granting Yes .
"Islamic University, Bangladesh","Islamic University, Bangladesh .","The Acronym of Islamic University, Bangladesh is IU .",It's Established on 1979 .,And its Location is Kushtia .,Also division is Khulna division .,This university offers a specialization in General .,"Islamic University, Bangladesh is a Public University .",Ph.D. granting Yes .
Comilla University,Comilla University .,The Acronym of Comilla University is CoU .,It's Established on 2006 .,And its Location is Comilla .,Also division is Chittagong division .,This university offers a specialization in General .,Comilla University is a Public University .,Ph.D. granting Yes .
Begum Rokeya University,Begum Rokeya University .,The Acronym of Begum Rokeya University is BRU .,It's Established on 2008 .,And its Location is Rangpur .,Also division is Rangpur division .,This university offers a specialization in General .,Begum Rokeya University is a Public University .,Ph.D. granting Yes .
Bangladesh University of Professionals,Bangladesh University of Professionals .,The Acronym of Bangladesh University of Professionals is BUP .,It's Established on 2008 .,And its Location is Dhaka .,Also division is Dhaka division .,This university offers a specialization in General .,Bangladesh University of Professionals is a Public University .,Ph.D. granting Yes .
Bangabandhu Sheikh Mujibur Rahman University,Bangabandhu Sheikh Mujibur Rahman University .,The Acronym of Bangabandhu Sheikh Mujibur Rahman University is BSMRU .,It's Established on 2020 .,And its Location is Kishoreganj .,Also division is Dhaka division .,This university offers a specialization in General .,Bangabandhu Sheikh Mujibur Rahman University is a Public University .,Ph.D. granting Yes .
Bangabandhu Sheikh Mujib Medical University,Bangabandhu Sheikh Mujib Medical University .,The Acronym of Bangabandhu Sheikh Mujib Medical University is BSMMU .,It's Established on 1998 .,And its Location is Dhaka .,Also division is Dhaka division .,This university offers a specialization in Medical .,Bangabandhu Sheikh Mujib Medical University is a Public University .,Ph.D. granting No .
Chittagong Medical University,Chittagong Medical University .,The Acronym of Chittagong Medical University is CMU .,It's Established on 2017 .,And its Location is Chittagong .,Also division is Chittagong division .,This university offers a specialization in Medical .,Chittagong Medical University is a Public University .,Ph.D. granting No .
Rajshahi Medical University,Rajshahi Medical University .,The Acronym of Rajshahi Medical University is RMU .,It's Established on 2017 .,And its Location is Rajshahi .,Also division is Rajshahi division .,This university offers a specialization in Medical .,Rajshahi Medical University is a Public University .,Ph.D. granting No .
